location_name,iso3,region,income_group
Afghanistan,AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Albania,ALB,Europe & Central Asia,Upper middle income
Algeria,DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
American Samoa,ASM,East Asia & Pacific,High income
Andorra,AND,Europe & Central Asia,High income
Angola,AGO,Sub-Saharan Africa,Lower middle income
Antigua and Barbuda,ATG,Latin America & Caribbean,High income
Argentina,ARG,Latin America & Caribbean,Upper middle income
Armenia,ARM,Europe & Central Asia,Upper middle income
Australia,AUS,East Asia & Pacific,High income
Austria,AUT,Europe & Central Asia,High income
Azerbaijan,AZE,Europe & Central Asia,Upper middle income
Bahamas,BHS,Latin America & Caribbean,High income
Bahrain,BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income
Bangladesh,BGD,South Asia,Lower middle income
Barbados,BRB,Latin America & Caribbean,High income
Belarus,BLR,Europe & Central Asia,Upper middle income
Belgium,BEL,Europe & Central Asia,High income
Belize,BLZ,Latin America & Caribbean,Upper middle income
Benin,BEN,Sub-Saharan Africa,Lower middle income
Bermuda,BMU,North America,High income
Bhutan,BTN,South Asia,Lower middle income
Bolivia (Plurinational State of),BOL,Latin America & Caribbean,Lower middle income
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income
Botswana,BWA,Sub-Saharan Africa,Upper middle income
Brazil,BRA,Latin America & Caribbean,Upper middle income
Brunei Darussalam,BRN,East Asia & Pacific,High income
Bulgaria,BGR,Europe & Central Asia,High income
Burkina Faso,BFA,Sub-Saharan Africa,Low income
Burundi,BDI,Sub-Saharan Africa,Low income
Cabo Verde,CPV,Sub-Saharan Africa,Upper middle income
Cambodia,KHM,East Asia & Pacific,Lower middle income
Cameroon,CMR,Sub-Saharan Africa,Lower middle income
Canada,CAN,North America,High income
Central African Republic,CAF,Sub-Saharan Africa,Low income
Chad,TCD,Sub-Saharan Africa,Low income
Chile,CHL,Latin America & Caribbean,High income
China,CHN,East Asia & Pacific,Upper middle income
Colombia,COL,Latin America & Caribbean,Upper middle income
Comoros,COM,Sub-Saharan Africa,Lower middle income
Congo,COG,Sub-Saharan Africa,Lower middle income
Cook Islands,,,
Costa Rica,CRI,Latin America & Caribbean,High income
Croatia,HRV,Europe & Central Asia,High income
Cuba,CUB,Latin America & Caribbean,Upper middle income
Cyprus,CYP,Europe & Central Asia,High income
Czechia,CZE,Europe & Central Asia,High income
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income
Democratic People's Republic of Korea,PRK,East Asia & Pacific,Low income
Democratic Republic of the Congo,COD,Sub-Saharan Africa,Low income
Denmark,DNK,Europe & Central Asia,High income
Djibouti,DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Dominica,DMA,Latin America & Caribbean,Upper middle income
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income
Ecuador,ECU,Latin America & Caribbean,Upper middle income
Egypt,EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
El Salvador,SLV,Latin America & Caribbean,Upper middle income
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income
Eritrea,ERI,Sub-Saharan Africa,Low income
Estonia,EST,Europe & Central Asia,High income
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income
Ethiopia,ETH,Sub-Saharan Africa,Low income
Fiji,FJI,East Asia & Pacific,Upper middle income
Finland,FIN,Europe & Central Asia,High income
France,FRA,Europe & Central Asia,High income
Gabon,GAB,Sub-Saharan Africa,Upper middle income
Gambia,GMB,Sub-Saharan Africa,Low income
Georgia,GEO,Europe & Central Asia,Upper middle income
Germany,DEU,Europe & Central Asia,High income
Ghana,GHA,Sub-Saharan Africa,Lower middle income
Greece,GRC,Europe & Central Asia,High income
Greenland,GRL,Europe & Central Asia,High income
Grenada,GRD,Latin America & Caribbean,Upper middle income
Guam,GUM,East Asia & Pacific,High income
Guatemala,GTM,Latin America & Caribbean,Upper middle income
Guinea,GIN,Sub-Saharan Africa,Lower middle income
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income
Guyana,GUY,Latin America & Caribbean,High income
Haiti,HTI,Latin America & Caribbean,Lower middle income
Honduras,HND,Latin America & Caribbean,Lower middle income
Hungary,HUN,Europe & Central Asia,High income
Iceland,ISL,Europe & Central Asia,High income
India,IND,South Asia,Lower middle income
Indonesia,IDN,East Asia & Pacific,Upper middle income
Iran (Islamic Republic of),IRN,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
Iraq,IRQ,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
Ireland,IRL,Europe & Central Asia,High income
Israel,ISR,"Middle East, North Africa, Afghanistan & Pakistan",High income
Italy,ITA,Europe & Central Asia,High income
Jamaica,JAM,Latin America & Caribbean,Upper middle income
Japan,JPN,East Asia & Pacific,High income
Jordan,JOR,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income
Kenya,KEN,Sub-Saharan Africa,Lower middle income
Kiribati,KIR,East Asia & Pacific,Lower middle income
Kuwait,KWT,"Middle East, North Africa, Afghanistan & Pakistan",High income
Kyrgyzstan,KGZ,Europe & Central Asia,Lower middle income
Lao People's Democratic Republic,LAO,East Asia & Pacific,Lower middle income
Latvia,LVA,Europe & Central Asia,High income
Lebanon,LBN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Lesotho,LSO,Sub-Saharan Africa,Lower middle income
Liberia,LBR,Sub-Saharan Africa,Low income
Libya,LBY,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
Lithuania,LTU,Europe & Central Asia,High income
Luxembourg,LUX,Europe & Central Asia,High income
Madagascar,MDG,Sub-Saharan Africa,Low income
Malawi,MWI,Sub-Saharan Africa,Low income
Malaysia,MYS,East Asia & Pacific,Upper middle income
Maldives,MDV,South Asia,Upper middle income
Mali,MLI,Sub-Saharan Africa,Low income
Malta,MLT,"Middle East, North Africa, Afghanistan & Pakistan",High income
Marshall Islands,MHL,East Asia & Pacific,Upper middle income
Mauritania,MRT,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,Sub-Saharan Africa,Upper middle income
Mexico,MEX,Latin America & Caribbean,Upper middle income
Micronesia (Federated States of),FSM,East Asia & Pacific,Upper middle income
Monaco,MCO,Europe & Central Asia,High income
Mongolia,MNG,East Asia & Pacific,Upper middle income
Montenegro,MNE,Europe & Central Asia,Upper middle income
Morocco,MAR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Mozambique,MOZ,Sub-Saharan Africa,Low income
Myanmar,MMR,East Asia & Pacific,Lower middle income
Namibia,NAM,Sub-Saharan Africa,Lower middle income
Nauru,NRU,East Asia & Pacific,High income
Nepal,NPL,South Asia,Lower middle income
Netherlands,NLD,Europe & Central Asia,High income
New Zealand,NZL,East Asia & Pacific,High income
Nicaragua,NIC,Latin America & Caribbean,Lower middle income
Niger,NER,Sub-Saharan Africa,Low income
Nigeria,NGA,Sub-Saharan Africa,Lower middle income
Niue,,,
North Macedonia,MKD,Europe & Central Asia,Upper middle income
Northern Mariana Islands,MNP,East Asia & Pacific,High income
Norway,NOR,Europe & Central Asia,High income
Oman,OMN,"Middle East, North Africa, Afghanistan & Pakistan",High income
Pakistan,PAK,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Palau,PLW,East Asia & Pacific,High income
Palestine,PSE,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Panama,PAN,Latin America & Caribbean,High income
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income
Paraguay,PRY,Latin America & Caribbean,Upper middle income
Peru,PER,Latin America & Caribbean,Upper middle income
Philippines,PHL,East Asia & Pacific,Upper middle income
Poland,POL,Europe & Central Asia,High income
Portugal,PRT,Europe & Central Asia,High income
Puerto Rico,PRI,Latin America & Caribbean,High income
Qatar,QAT,"Middle East, North Africa, Afghanistan & Pakistan",High income
Republic of Korea,KOR,East Asia & Pacific,High income
Republic of Moldova,MDA,Europe & Central Asia,Upper middle income
Romania,ROU,Europe & Central Asia,High income
Russian Federation,RUS,Europe & Central Asia,High income
Rwanda,RWA,Sub-Saharan Africa,Low income
Saint Kitts and Nevis,KNA,Latin America & Caribbean,High income
Saint Lucia,LCA,Latin America & Caribbean,Upper middle income
Saint Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income
Samoa,WSM,East Asia & Pacific,Upper middle income
San Marino,SMR,Europe & Central Asia,High income
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income
Saudi Arabia,SAU,"Middle East, North Africa, Afghanistan & Pakistan",High income
Senegal,SEN,Sub-Saharan Africa,Lower middle income
Serbia,SRB,Europe & Central Asia,Upper middle income
Seychelles,SYC,Sub-Saharan Africa,High income
Sierra Leone,SLE,Sub-Saharan Africa,Low income
Singapore,SGP,East Asia & Pacific,High income
Slovakia,SVK,Europe & Central Asia,High income
Slovenia,SVN,Europe & Central Asia,High income
Solomon Islands,SLB,East Asia & Pacific,Lower middle income
Somalia,SOM,Sub-Saharan Africa,Low income
South Africa,ZAF,Sub-Saharan Africa,Upper middle income
South Sudan,SSD,Sub-Saharan Africa,Low income
Spain,ESP,Europe & Central Asia,High income
Sri Lanka,LKA,South Asia,Upper middle income
Sudan,SDN,Sub-Saharan Africa,Low income
Suriname,SUR,Latin America & Caribbean,Upper middle income
Sweden,SWE,Europe & Central Asia,High income
Switzerland,CHE,Europe & Central Asia,High income
Syrian Arab Republic,SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
Taiwan,,,
Tajikistan,TJK,Europe & Central Asia,Lower middle income
Thailand,THA,East Asia & Pacific,Upper middle income
Timor-Leste,TLS,East Asia & Pacific,Lower middle income
Togo,TGO,Sub-Saharan Africa,Lower middle income
Tokelau,,,
Tonga,TON,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,Latin America & Caribbean,High income
Tunisia,TUN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
Turkmenistan,TKM,Europe & Central Asia,Upper middle income
Tuvalu,TUV,East Asia & Pacific,Upper middle income
Türkiye,TUR,Europe & Central Asia,Upper middle income
Uganda,UGA,Sub-Saharan Africa,Low income
Ukraine,UKR,Europe & Central Asia,Upper middle income
United Arab Emirates,ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income
United Kingdom,GBR,Europe & Central Asia,High income
