Attribute,Unique Count,Rank,Value,Count,Percent of Non-null
Program,1,1, 7A,388338,100.0
LocationID,2338,1,0057328,42981,11.0679
LocationID,2338,2,0053803,17872,4.6022
LocationID,2338,3,0029805,17740,4.5682
LocationID,2338,4,0049874,13752,3.5412
LocationID,2338,5,0029599,13557,3.491
LocationID,2338,6,0046391,12453,3.2067
LocationID,2338,7,0012096,12010,3.0927
LocationID,2338,8,0499141,10386,2.6745
LocationID,2338,9,0455644,10275,2.6459
LocationID,2338,10,0123499,9541,2.4569
BorrName,323752,1,Anytime Fitness,32,0.0082
BorrName,323752,2,Arlmont Fuel Corp.,30,0.0077
BorrName,323752,3,Comfort Keepers,23,0.0059
BorrName,323752,4,J & E Inc,21,0.0054
BorrName,323752,5,The UPS Store,20,0.0052
BorrName,323752,6,Cold Stone Creamery,17,0.0044
BorrName,323752,7,Firehouse Subs,17,0.0044
BorrName,323752,8,The Goddard School,16,0.0041
BorrName,323752,9,The Learning Experience,15,0.0039
BorrName,323752,10,Jersey Mike's Subs,14,0.0036
BorrStreet,333651,1,22 Sunnyside Ave,30,0.0077
BorrStreet,333651,2,1111 Parana,24,0.0062
BorrStreet,333651,3,612 SCR 68,18,0.0046
BorrStreet,333651,4,10655 Birch,15,0.0039
BorrStreet,333651,5,16003 N SUNCREST DR,14,0.0036
BorrStreet,333651,6,405 S. 3rd St.,13,0.0033
BorrStreet,333651,7,3840 PARK AVE SUITE # 104-B,12,0.0031
BorrStreet,333651,8,TBD,11,0.0028
BorrStreet,333651,9,"6200 Seagull Lane, N.E., Suite A",11,0.0028
BorrStreet,333651,10,30 N GOULD ST,11,0.0028
BorrCity,21599,1,BROOKLYN,2680,0.6901
BorrCity,21599,2,LOS ANGELES,2415,0.6219
BorrCity,21599,3,HOUSTON,2346,0.6041
BorrCity,21599,4,MIAMI,2280,0.5871
BorrCity,21599,5,CHICAGO,1952,0.5027
BorrCity,21599,6,NEW YORK,1906,0.4908
BorrCity,21599,7,LAS VEGAS,1773,0.4566
BorrCity,21599,8,MINNEAPOLIS,1391,0.3582
BorrCity,21599,9,SAN DIEGO,1378,0.3548
BorrCity,21599,10,DALLAS,1355,0.3489
BorrState,54,1,CA,45200,11.6393
BorrState,54,2,TX,29666,7.6392
BorrState,54,3,FL,28965,7.4587
BorrState,54,4,NY,24157,6.2206
BorrState,54,5,OH,21694,5.5864
BorrState,54,6,MI,14796,3.8101
BorrState,54,7,IL,13416,3.4547
BorrState,54,8,NJ,13246,3.4109
BorrState,54,9,PA,13210,3.4017
BorrState,54,10,GA,11603,2.9879
BorrZip,21250,1,10950,425,0.1094
BorrZip,21250,2,10977,421,0.1084
BorrZip,21250,3,11219,375,0.0966
BorrZip,21250,4,33166,345,0.0888
BorrZip,21250,5,10952,338,0.087
BorrZip,21250,6,08701,314,0.0809
BorrZip,21250,7,33178,261,0.0672
BorrZip,21250,8,11205,257,0.0662
BorrZip,21250,9,44256,256,0.0659
BorrZip,21250,10,33172,252,0.0649
BankName,2183,1,The Huntington National Bank,42981,11.0679
BankName,2183,2,"U.S. Bank, National Association",17872,4.6022
BankName,2183,3,"TD Bank, National Association",17740,4.5682
BankName,2183,4,"Newtek Bank, National Association",13752,3.5412
BankName,2183,5,Northeast Bank,13656,3.5165
BankName,2183,6,Manufacturers and Traders Trust Company,12453,3.2067
BankName,2183,7,Wells Fargo Bank National Association,12010,3.0927
BankName,2183,8,"Readycap Lending, LLC",10386,2.6745
BankName,2183,9,Live Oak Banking Company,10275,2.6459
BankName,2183,10,BayFirst National Bank,9541,2.4569
BankFDICNumber,1873,1,06560,42981,12.3859
BankFDICNumber,1873,2,06548,17872,5.1502
BankFDICNumber,1873,3,18409,17740,5.1122
BankFDICNumber,1873,4,18734,13752,3.9629
BankFDICNumber,1873,5,19690,13557,3.9067
BankFDICNumber,1873,6,00588,12453,3.5886
BankFDICNumber,1873,7,03511,12010,3.4609
BankFDICNumber,1873,8,58665,10275,2.961
BankFDICNumber,1873,9,34997,9541,2.7494
BankFDICNumber,1873,10,00628,8696,2.5059
