Attribute,Missing Count,Missing %,Group By,Group,Group Missing,Group Rows,Group Missing %
BankFDICNumber,41322,10.6407,ApprovalFY,2025,9562,78078,12.2467
BankFDICNumber,41322,10.6407,ApprovalFY,2024,8318,70242,11.8419
BankFDICNumber,41322,10.6407,ApprovalFY,2022,5383,47678,11.2903
BankFDICNumber,41322,10.6407,ApprovalFY,2023,5306,57362,9.25
BankFDICNumber,41322,10.6407,ApprovalFY,2021,5084,51856,9.8041
BankFDICNumber,41322,10.6407,ApprovalFY,2026,4410,40824,10.8025
BankFDICNumber,41322,10.6407,ApprovalFY,2020,3259,42298,7.7049
BankFDICNumber,41322,10.6407,LoanStatus,EXEMPT,27616,242061,11.4087
BankFDICNumber,41322,10.6407,LoanStatus,P I F,6184,68201,9.0673
BankFDICNumber,41322,10.6407,LoanStatus,CANCLD,5589,50104,11.1548
BankFDICNumber,41322,10.6407,LoanStatus,COMMIT,1393,21079,6.6085
BankFDICNumber,41322,10.6407,LoanStatus,CHGOFF,540,6893,7.834
BankNCUANumber,377191,97.1296,ApprovalFY,2025,76078,78078,97.4385
BankNCUANumber,377191,97.1296,ApprovalFY,2024,68426,70242,97.4147
BankNCUANumber,377191,97.1296,ApprovalFY,2023,55766,57362,97.2177
BankNCUANumber,377191,97.1296,ApprovalFY,2021,50096,51856,96.606
BankNCUANumber,377191,97.1296,ApprovalFY,2022,46092,47678,96.6735
BankNCUANumber,377191,97.1296,ApprovalFY,2020,41002,42298,96.936
BankNCUANumber,377191,97.1296,ApprovalFY,2026,39731,40824,97.3227
BankNCUANumber,377191,97.1296,LoanStatus,EXEMPT,234893,242061,97.0388
BankNCUANumber,377191,97.1296,LoanStatus,P I F,65764,68201,96.4267
BankNCUANumber,377191,97.1296,LoanStatus,CANCLD,49098,50104,97.9922
BankNCUANumber,377191,97.1296,LoanStatus,COMMIT,20653,21079,97.979
BankNCUANumber,377191,97.1296,LoanStatus,CHGOFF,6783,6893,98.4042
FirstDisbursementDate,71186,18.3309,ApprovalFY,2025,17788,78078,22.7823
FirstDisbursementDate,71186,18.3309,ApprovalFY,2026,17581,40824,43.0654
FirstDisbursementDate,71186,18.3309,ApprovalFY,2024,10210,70242,14.5355
FirstDisbursementDate,71186,18.3309,ApprovalFY,2023,7165,57362,12.4908
FirstDisbursementDate,71186,18.3309,ApprovalFY,2021,6692,51856,12.905
FirstDisbursementDate,71186,18.3309,ApprovalFY,2022,5914,47678,12.404
FirstDisbursementDate,71186,18.3309,ApprovalFY,2020,5836,42298,13.7973
FirstDisbursementDate,71186,18.3309,LoanStatus,CANCLD,50104,50104,100.0
FirstDisbursementDate,71186,18.3309,LoanStatus,COMMIT,21079,21079,100.0
FirstDisbursementDate,71186,18.3309,LoanStatus,P I F,3,68201,0.0044
InitialInterestRate,8,0.0021,ApprovalFY,2025,5,78078,0.0064
InitialInterestRate,8,0.0021,ApprovalFY,2026,2,40824,0.0049
InitialInterestRate,8,0.0021,ApprovalFY,2024,1,70242,0.0014
InitialInterestRate,8,0.0021,LoanStatus,EXEMPT,6,242061,0.0025
InitialInterestRate,8,0.0021,LoanStatus,CANCLD,1,50104,0.002
InitialInterestRate,8,0.0021,LoanStatus,COMMIT,1,21079,0.0047
FixedorVariableInterestInd,8,0.0021,ApprovalFY,2025,5,78078,0.0064
FixedorVariableInterestInd,8,0.0021,ApprovalFY,2026,2,40824,0.0049
FixedorVariableInterestInd,8,0.0021,ApprovalFY,2024,1,70242,0.0014
FixedorVariableInterestInd,8,0.0021,LoanStatus,EXEMPT,6,242061,0.0025
FixedorVariableInterestInd,8,0.0021,LoanStatus,CANCLD,1,50104,0.002
FixedorVariableInterestInd,8,0.0021,LoanStatus,COMMIT,1,21079,0.0047
FranchiseCode,341756,88.0048,ApprovalFY,2025,70904,78078,90.8118
FranchiseCode,341756,88.0048,ApprovalFY,2024,64313,70242,91.5592
FranchiseCode,341756,88.0048,ApprovalFY,2023,49966,57362,87.1064
FranchiseCode,341756,88.0048,ApprovalFY,2021,43747,51856,84.3625
FranchiseCode,341756,88.0048,ApprovalFY,2022,41100,47678,86.2033
FranchiseCode,341756,88.0048,ApprovalFY,2020,36521,42298,86.3421
FranchiseCode,341756,88.0048,ApprovalFY,2026,35205,40824,86.236
FranchiseCode,341756,88.0048,LoanStatus,EXEMPT,212576,242061,87.8192
FranchiseCode,341756,88.0048,LoanStatus,P I F,59547,68201,87.311
FranchiseCode,341756,88.0048,LoanStatus,CANCLD,45585,50104,90.9808
FranchiseCode,341756,88.0048,LoanStatus,COMMIT,17915,21079,84.9898
FranchiseCode,341756,88.0048,LoanStatus,CHGOFF,6133,6893,88.9743
FranchiseName,341920,88.047,ApprovalFY,2025,70930,78078,90.8451
FranchiseName,341920,88.047,ApprovalFY,2024,64336,70242,91.5919
FranchiseName,341920,88.047,ApprovalFY,2023,49998,57362,87.1622
FranchiseName,341920,88.047,ApprovalFY,2021,43779,51856,84.4242
FranchiseName,341920,88.047,ApprovalFY,2022,41114,47678,86.2326
FranchiseName,341920,88.047,ApprovalFY,2020,36541,42298,86.3894
FranchiseName,341920,88.047,ApprovalFY,2026,35222,40824,86.2777
FranchiseName,341920,88.047,LoanStatus,EXEMPT,212672,242061,87.8588
FranchiseName,341920,88.047,LoanStatus,P I F,59578,68201,87.3565
FranchiseName,341920,88.047,LoanStatus,CANCLD,45615,50104,91.0406
FranchiseName,341920,88.047,LoanStatus,COMMIT,17920,21079,85.0135
FranchiseName,341920,88.047,LoanStatus,CHGOFF,6135,6893,89.0033
CongressionalDistrict,24,0.0062,ApprovalFY,2025,11,78078,0.0141
CongressionalDistrict,24,0.0062,ApprovalFY,2026,11,40824,0.0269
CongressionalDistrict,24,0.0062,ApprovalFY,2023,1,57362,0.0017
CongressionalDistrict,24,0.0062,ApprovalFY,2024,1,70242,0.0014
CongressionalDistrict,24,0.0062,LoanStatus,EXEMPT,17,242061,0.007
CongressionalDistrict,24,0.0062,LoanStatus,COMMIT,4,21079,0.019
CongressionalDistrict,24,0.0062,LoanStatus,CANCLD,3,50104,0.006
